dataset,split_mode,model,seed,auc,acc,nll,rmse
assist2012,learner_based,bkt,123,0.5,0.29000607481433316,24.52232142373269,0.8426113725708106
assist2012,learner_based,bkt,2024,0.5,0.289587644585793,24.53677349183311,0.8428596297214653
assist2012,learner_based,bkt,2025,0.5,0.29000607481433316,24.52232142373269,0.8426113725708106
assist2012,learner_based,bkt,2026,0.499984789602172,0.2890981088847895,24.55338378830774,0.8431460697700476
assist2012,learner_based,bkt,42,0.5,0.289587644585793,24.53677349183311,0.8428596297214653
assist2012,learner_based,dkt,2024,0.6995196686130954,0.7181185060376298,0.579811536655526,0.4391223576320873
assist2012,learner_based,dkt,2025,0.6975380308101575,0.7187829342530972,0.5803021420062308,0.43922671340018876
assist2012,learner_based,dkt,42,0.6989399535313159,0.7186314705607039,0.5803353995860621,0.43923278524425124
assist2012,learner_based,simplekt,2024,0.6827948877861713,0.6997116914724328,0.6901101925864754,0.4600997253439031
assist2012,learner_based,simplekt,2025,0.681852187011354,0.698191425855093,0.6968153947590423,0.4618507548649545
assist2012,learner_based,simplekt,42,0.6834523317999622,0.6997229242722082,0.6993514331064226,0.460501138377297
assist2012,temporal,bkt,123,0.500010316933194,0.3124731326601771,23.712702054927192,0.829051060440277
assist2012,temporal,bkt,2026,0.500010316933194,0.3124731326601771,23.712702054927192,0.829051060440277
assist2012,temporal,bkt,42,0.500010316933194,0.3124731326601771,23.712702054927192,0.829051060440277
assist2012,temporal,dkt,42,0.4991591767739604,0.6129230722917635,0.8100082536262357,0.5176589583327557
assist2012,temporal,simplekt,42,0.5014727003985071,0.5771186775516041,1.0974100242268519,0.5538443658001342
junyi,learner_based,bkt,2024,0.5,0.2960517785180596,24.313510215359802,0.8390162224188153
junyi,learner_based,bkt,42,0.5,0.2960517785180596,24.313510215359802,0.8390162224188153
junyi,learner_based,dkt,2024,0.732803983122286,0.733261507570154,0.5444043251911247,0.42533218782894
junyi,learner_based,dkt,42,0.7325663255875674,0.7332734377437655,0.5442189717560367,0.4252530767341299
junyi,learner_based,simplekt,2024,0.7252603324537382,0.7284634364650957,0.5934210001749053,0.4319614161187107
junyi,learner_based,simplekt,42,0.7267426258468979,0.7285509244049138,0.595097470789827,0.4319925316741816
junyi,temporal,bkt,42,0.5000521464566869,0.3012433147496738,24.126316670219172,0.8359026933188993
junyi,temporal,dkt,42,0.5003439238620192,0.6236991287697168,0.8315886141809223,0.5165309658413278
junyi,temporal,simplekt,42,0.4997972176310175,0.5999485062971865,0.9902763460429759,0.531714404217783
xes3g5m,learner_based,bkt,2024,0.5000031991605403,0.1880627720105304,28.04332196517886,0.9010763157227852
xes3g5m,learner_based,bkt,42,0.5000031991605403,0.1880627720105304,28.04332196517886,0.9010763157227852
xes3g5m,learner_based,dkt,2024,0.8183753046718523,0.8350753496119062,0.3864668372242793,0.3469795531302159
xes3g5m,learner_based,dkt,42,0.8193738173061296,0.835742056826848,0.3862111484508116,0.3465926422354785
xes3g5m,learner_based,simplekt,2024,0.7560195553147913,0.8101210054100756,0.6071137027502207,0.38966545197359
xes3g5m,learner_based,simplekt,42,0.7565023121139166,0.8094589768422563,0.6082956193953384,0.39007115767085637
xes3g5m,temporal,bkt,42,0.49996890791010223,0.33725496011150985,21.47286739691042,0.8214091975274042
xes3g5m,temporal,dkt,42,0.49916454887114203,0.6598872350844857,0.8673512144835701,0.4925410528839153
xes3g5m,temporal,simplekt,42,0.49966483339417567,0.6551416539315276,1.250635036029349,0.5206916099166204
