dataset,split_mode,model,seed,bucket,ece,n_events,n_bins
junyi_bkt_test,learner_based,bkt,42,medium,0.6429942418426103,6597,15
junyi_bkt_test,learner_based,bkt,42,sparse,0.5919923736892279,9902,15
junyi_bkt_test,learner_based,bkt,42,very_sparse,0.5317460317460317,1264,15
junyi_bkt_test,temporal,bkt,2024,medium,0.6546242774566473,5780,15
junyi_bkt_test,temporal,bkt,2024,sparse,0.5833956619296933,10589,15
junyi_bkt_test,temporal,bkt,2024,very_sparse,0.5684210526315789,1391,15
junyi_bkt_test,temporal,bkt,2025,medium,0.6546242774566473,5780,15
junyi_bkt_test,temporal,bkt,2025,sparse,0.5833956619296933,10589,15
junyi_bkt_test,temporal,bkt,2025,very_sparse,0.5684210526315789,1391,15
junyi_bkt_test,temporal,bkt,42,medium,0.6546242774566473,5780,15
junyi_bkt_test,temporal,bkt,42,sparse,0.5833956619296933,10589,15
junyi_bkt_test,temporal,bkt,42,very_sparse,0.5684210526315789,1391,15
junyi,learner_based,bkt,42,dense,0.7041386769759862,3264405,15
junyi,learner_based,bkt,42,medium,0.5692829457364341,4617,15
junyi,learner_based,dkt,42,dense,0.04051606547312916,3264405,15
junyi,learner_based,dkt,42,medium,0.23543743276469353,4617,15
junyi,learner_based,simplekt,42,dense,0.0756703853679386,3264405,15
junyi,learner_based,simplekt,42,medium,0.09050313095165638,4617,15
junyi,temporal,bkt,42,dense,0.706783301062874,3072767,15
junyi,temporal,bkt,42,medium,0.5445684117642661,151597,15
junyi,temporal,bkt,42,sparse,0.6397576782192167,16206,15
junyi,temporal,bkt,42,very_sparse,0.5203252032520326,2545,15
junyi,temporal,dkt,42,dense,0.1935085375563244,3072767,15
junyi,temporal,dkt,42,medium,0.2526497328232711,151597,15
junyi,temporal,dkt,42,sparse,0.21388307901396908,16206,15
junyi,temporal,dkt,42,very_sparse,0.29048842163308214,2545,15
junyi,temporal,simplekt,42,dense,0.22665458013858766,3072767,15
junyi,temporal,simplekt,42,medium,0.2639754097985397,151597,15
junyi,temporal,simplekt,42,sparse,0.24081891718804915,16206,15
junyi,temporal,simplekt,42,very_sparse,0.30837364070838374,2545,15
