dataset,split_mode,model,seed,bucket,n_events,n_kcs,auc,acc,nll,rmse,n_nan,note
junyi_bkt_test,learner_based,bkt,42,medium,6597,153,0.5,0.3570057581573896,23.175861584173216,0.8018692174180341,5555,
junyi_bkt_test,learner_based,bkt,42,sparse,9902,726,0.5,0.40800762631077214,21.33756792625524,0.7694104065381673,8853,
junyi_bkt_test,learner_based,bkt,42,very_sparse,1264,360,0.43974065598779566,0.40476190476190477,18.395906125336957,0.7346308866924529,1138,
junyi_bkt_test,temporal,bkt,2024,medium,5780,142,0.5022026431718062,0.3468208092485549,23.544967667979872,0.8086419072148353,5088,
junyi_bkt_test,temporal,bkt,2024,sparse,10589,749,0.5020182123482305,0.41660433807030667,20.977941297066284,0.7638034183804714,9252,
junyi_bkt_test,temporal,bkt,2024,very_sparse,1391,295,0.5091743119266054,0.4368421052631579,20.305564247350812,0.7521897856819185,1201,
junyi_bkt_test,temporal,bkt,2025,medium,5780,142,0.5022026431718062,0.3468208092485549,23.544967667979872,0.8086419072148353,5088,
junyi_bkt_test,temporal,bkt,2025,sparse,10589,749,0.5020182123482305,0.41660433807030667,20.977941297066284,0.7638034183804714,9252,
junyi_bkt_test,temporal,bkt,2025,very_sparse,1391,295,0.5091743119266054,0.4368421052631579,20.305564247350812,0.7521897856819185,1201,
junyi_bkt_test,temporal,bkt,42,medium,5780,142,0.5022026431718062,0.3468208092485549,23.544967667979872,0.8086419072148353,5088,
junyi_bkt_test,temporal,bkt,42,sparse,10589,749,0.5020182123482305,0.41660433807030667,20.977941297066284,0.7638034183804714,9252,
junyi_bkt_test,temporal,bkt,42,very_sparse,1391,295,0.5091743119266054,0.4368421052631579,20.305564247350812,0.7521897856819185,1201,
